"Utilities ET", "Utilities ET"

"Manage Contests", "Manage Contests"
"Contest Manager", "Contest Manager"
"View Contest Participants", "View Contest Participants"
"Add Contest", "Add Contest"
"Edit Contest", "Edit Contest"
"Save Contest", "Save Contest"
"Delete Contest", "Delete Contest"
"Contest Information", "Contest Information"
"Contest Content", "Contest Content"
"End Date", "End Date"
"Legal Text", "Legal Text"
"Contest Url", "Contest Url"
"Create CMS Page", "Create CMS Page"
"Allowed extensions : jpg, jpeg, gif, png", "Allowed extensions : jpg, jpeg, gif, png"
"Delete Image", "Delete Image"
"Example", "Example"

"Contest Participant Manager", "Contest Participant Manager"
"Edit Participant", "Edit Participant"
"Save Participant", "Save Participant"
"Delete Participant", "Delete Participant"
"Send Mail to Particpant", "Send Mail to Particpant"
"Participant Informed", "Participant Informed"
"Contest Result", "Contest Result"
"Send Email", "Send Email"

"Share with your friends", "Share with your friends"
"I suscribe to the newsletter and accept", "I suscribe to the newsletter and accept"
"the legal terms", "the legal terms"
"Participate", "Participate"
"You have already participated in this contest.", "You have already participated in this contest."
"Your participation in this contest has been submitted. Thank you !", "Your participation in this contest has been submitted. Thank you !"
"Thank you for your subscription.", "Thank you for your subscription."
"Confirmation request has been sent.", "Confirmation request has been sent."
"Name", "Name"
"* Required Fields", "* Required Fields"
"This is a required field.", "This is a required field."
