"Utilities ET", "Herramientas ET"

"Manage Contests", "Administrar Concursos"
"Contest Manager", "Administrar Concursos"
"View Contest Participants", "Ver Participantes Concursos"
"Add Contest", "Añadir Nuevo Concurso"
"Edit Contest", "Modificar el Concurso"
"Save Contest", "Guardar el Concurso"
"Delete Contest", "Borrar el Concurso"
"Contest Information", "Información del concurso"
"Contest Content", "Contenido del concurso"
"End Date", "Fecha de fin"
"Legal Text", "Condiciones Legales"
"Contest Url", "Url del Concurso"
"Create CMS Page", "Crear Página CMS"
"Allowed extensions : jpg, jpeg, gif, png", "Extensiones permitidas : jpg, jpeg, gif, png"
"Delete Image", "Borrar Imagen"
"Example", "Ejemplo"

"Contest Participant Manager", "Administrar los participantes de los concursos"
"Edit Participant", "Modificar el participante"
"Save Participant", "Guardar el participante"
"Delete Participant", "Borrar el participante"
"Send Mail to Particpant", "Enviar un mail al particpante"
"Participant Informed", "Participante Informado"
"Contest Result", "Resultado al concurso"
"Send Email", "Enviar Email"

"Share with your friends", "Compártelo con los tuyos"
"I suscribe to the newsletter and accept", "Quiero suscribirme y accepto"
"the legal terms", "las bases legales"
"Participate", "Participar"
"You have already participated in this contest.", "Ya has participado en este concurso."
"Your participation in this contest has been submitted. Thank you !", "Tu participación en este concurso ha sido registrada. ¡Muchas gracias!"
"Thank you for your subscription.", "Suscripción exitosa al Boletín de noticias."
"Confirmation request has been sent.", "La solicitud de suscripción al boletín de noticias ha sido enviada."
"Name", "Nombre"
"* Required Fields", "* Campos Obligatorios"
"This is a required field.", "Campo Obligatorio"
